Fecha,Tipo,Nombre,Precio,Precio Esperado,Menor precio,Mayor precio,Stop Loss,Porcentaje 24hs,Fecha Completado,Resultado
2024-10-01 09:08,buy,HMSTRUSDT,0.004783,0.004941,0.004749,0.004934,0.004555,-16565,2024-10-01 09:20,Ganada
2024-10-01 09:07,buy,SUNUSDT,0.01779,0.01838,0.017519,0.018183,0.01694,-11249,2024-10-01 09:48,empate
2024-10-06 10:07,sell,NEIROUSDT,0.0011918,0.0011537,0.001169,0.0012186,0.0012514,20701,2024-10-06 14:11,Cierre Preventivo
2024-10-08 13:50,sell,TRXUSDT,0.15977,0.15467,0.15948,0.16194,0.16776,2174,2024-10-09 09:11,Cierre Preventivo
2024-10-10 17:40,sell,ZECUSDT,33.7,32.6,33.17,35.35,35.4,16026,2024-10-10 19:51,Perdida
2024-10-10 23:30,sell,SXPUSDT,0.2512,0.2432,0.2512,0.2635,0.2638,11889,2024-10-10 23:36,Perdida
2024-10-11 04:20,sell,KAVAUSDT,0.3572,0.3458,0.3459,0.3572,0.3751,8076,2024-10-11 05:04,Ganada
2024-10-11 04:27,sell,BSWUSDT,0.06136,0.0594,0.06136,0.06433,0.06443,7155,2024-10-11 05:06,Perdida
2024-10-11 04:43,sell,DARUSDT,0.1574,0.1524,0.1526,159,0.1653,14.13,2024-10-11 06:16,Ganada
2024-10-12 09:12,sell,CELRUSDT,0.01403,0.01358,0.01395,0.0147,0.01473,16049,2024-10-12 09:31,Perdida
2024-10-12 00:35,sell,WAXPUSDT,0.0346,0.0335,0.0339,0.03509,0.0363,7879,2024-10-12 19:27,empate
2024-10-18 16:02,sell,MANAUSDT,0.3275,317,0.3271,0.3436,0.3439,11.58,2024-10-18 18:12,Perdida
2024-10-18 18:01,sell,SANDUSDT,0.2819,0.2729,0.2806,0.2948,296,9433,2024-10-18 18:45,Perdida
2024-10-19 15:53,sell,APEUSDT,0.8993,0.8706,0.8708,0.9229,0.9443,24176,2024-10-19 16:30,Ganada
2024-10-20 02:23,sell,MAGICUSDT,0.4332,0.4194,0.4252,0.4529,0.4549,16202,2024-10-20 03:02,Perdida
2024-10-20 07:34,sell,BLURUSDT,0.2718,0.2631,0.2685,0.2841,0.2854,12598,2024-10-20 07:58,Perdida
2024-10-20 08:11,sell,SNXUSDT,1592,1541,1564,1612,1672,9807,2024-10-20 14:44,Cierre Preventivo
2024-10-23 01:02,buy,UNFIUSDT,2219,2292,2219,2286,2113,-20043,2024-10-23 01:03,Ganada
2024-10-24 12:31,sell,RVNUSDT,0.01962,0.01899,0.01924,0.02059,0.0206,20244,2024-10-24 17:41,Perdida
2024-10-27 03:20,sell,SXPUSDT,0.2541,246,249,0.2621,0.2668,15796,2024-10-27 06:46,empate
2024-10-27 11:33,sell,API3USDT,1.6791,1.6255,1.6791,1.7609,1.7631,16804,2024-10-27 11:46,Perdida
